phone,account
89427451708,654061741
89616907616,506786096
89361980263,209969297
89232400047,759745563
89527680269,557911407
89638798443,103321909
89489213592,655531883
89198913073,262899517
89470270618,642198690
89545807298,142202795
89643475170,357924779
89122455480,185002940
89626482753,588690742
89205649787,272545904
89184946325,225965401
89223870903,103586054
89024751232,729999257
89752961042,769903956
89092730468,665321556
89763780507,149485217
89255621014,684998339
89927643310,502550759
89953850085,487962679
89528348016,700614614
89282693889,983302571
89617590199,116247998
89747554490,375615938
89301979815,341291209
89172164122,524704772
89475217142,565844225
89084994300,660842801
89829239414,637524606
89817844474,255292008
89906868713,539552861
89645023379,160116378
89246128904,939410558
89874371372,715583688
89348144785,853797081
89284716885,616234452
89764257844,144380769
89980291306,155185057
89135217918,952890388
89916733443,259122816
89393903522,529596355
89091798862,978305642
89977539114,235660650
89762185959,437195226
89443351167,746262470
89296937415,580143723
89421639338,921052144
89289128616,669073996
89512461377,262376698
89569388300,991207343
89068584302,112334893
89128902560,418001200
89936195822,753771352
89494115267,141477322
89739485443,433647911
89765681403,459137100
89855668083,916012313
89042140781,951020567
89593223608,869369094
89028100069,395845735
89445641401,595636625
89337977159,210975327
89795191416,892897850
89185183517,755339997
89002278947,638675522
89461498479,931429603
89034482298,387748142
89085661382,640253494
89174365379,557115366
89664628444,559085695
89749414811,223375986
89243457037,318484322
89730174774,800617498
89709437736,223197145
89004785812,545945588
89487700900,302312581
89333532601,409364535
89667354241,294987045
89292411214,517523908
89708584169,899362095
89744686449,345418972
89971521112,484787744
89407048585,509631810
89365620760,465463902
89946027051,365622431
89435753412,909582293
89203484481,587759886
89265441902,853379686
89990945230,303554942
89935439183,557214789
89885367076,537111105
89996595085,502568550
89189277220,466040652
89158448969,263700728
89780380891,827997928
89390929875,670243441
89600507355,546018751
89218485435,965773853
89645011365,584821819
89669129754,472414216
89575805932,381732513
89136754396,452147484
89252144647,117220546
89723742688,283252152
89791251454,434481339
89919617883,885203540
89475212770,272488722
89931994640,379059916
89572751311,140341414
89242492149,325096194
89595255780,483590611
89563945167,571201841
89405260374,966295691
89003168511,438750856
89359078917,661006515
89734619804,416820064
89930187481,550817098
89385668544,174709001
89863624302,491135558
89799188559,245242339
89783514482,671346865
89915815170,387223197
89793318141,139338214
89382844962,677161641
89845464220,835944212
89718718642,434584200
89077753690,475745482
89380730272,518700493
89429027922,470024137
89281701671,384868915
89724607832,712011720
89124884568,474112469
89701613833,944490980
89620948607,864721738
89700845010,402205796
89507989336,770938911
89009152195,372239034
89902496510,244522556
89130757708,169373203
89174627788,594269860
89418833023,304305542
89846036111,644673023
89576221549,862130259
89235813155,901190668
89652120802,552867341
89806828326,270621673
89208389501,753519994
89668477845,892398537
89887770853,324569210
89703020207,471557671
89663632863,654868704
89146938516,681444167
89372328842,718960092
89884026666,794186720
89897355855,771260694
89313738587,850830074
89667718979,991804787
89166528769,404632033
89467612685,391249545
89812420398,997305467
89165227272,975673339
89135198916,230674923
89216952089,754621687
89269062081,368965918
89077787640,558730200
89374128395,664018984
89910553185,227120238
89777158190,162460318
89571582679,923028305
89728725865,386872910
89178283545,900450545
89557257926,213309711
89552464839,903736635
89501258835,877392749
89515566881,428534752
89466961280,677402011
89908244028,408640709
89961691793,677940909
89491804088,709668284
89257630146,645885512
89026228240,803848432
89194006423,987816059
89171081202,419703154
89384191317,166343746
89187333691,285589289
89198463974,135774408
89095523559,714494134
89404975883,508328458
89299615459,332580062
89226657007,797231913
89787718417,521057664
89315986787,131427930
89688712236,261438754
89153353806,130723657
89169777499,979938686
89198896203,581915311
89001230451,959971006
89205758759,693555128
89622904569,529187191
89052574620,333877706
89358373177,437233138
89294120029,123122776
89199953763,745232107
89196906054,570929060
89807302821,741238917
89299893501,770656453
89070869889,908577949
89105516364,398748031
89587508379,500533040
89973273341,284616836
89642239544,169256327
89877961588,585890474
89851117926,872356829
89642205801,362240439
89279163472,113275718
89786028408,484280892
89680961334,911961633
89879308551,540514450
89920525585,256925095
89057051185,537031923
89749662859,617570186
89123340134,255938836
89104145231,529077303
89512388919,705249320
89246813197,184585777
89004822667,607652940
89762190353,755730509
89796774785,400281831
89054659257,250554459
89468020546,812920660
89117349168,128242941
89371991797,960171298
89342779867,880359686
89545013182,708171612
89865480852,520906525
89979345662,287700701
89065073034,122970858
89218496204,720242309
89804760220,316274758
89082494913,429975267
89798871436,840474055
89476328925,782863614
89770264002,352588023
89521633388,583460827
89687582397,815279905
89928360514,193029664
89282553876,427281477
89300416416,569409405
89974188143,123180791
89610472118,144983719
89447682066,596907934
89787749602,274230236
89858722595,138408760
89533176506,969018323
89554434815,981396642
89291135052,430760123
89013289134,398872480
89965909503,407465019
89286947140,932451614
89717894711,133986336
89340260408,892188249
89991169766,123753608
89678273445,872160297
89239432886,196347841
89490124481,911082061
89425946974,342544518
89070708106,560587586
89051889123,889664029
89201415209,956571010
89270638723,723614399
89333195946,389447894
89764678978,908293903
89715646077,902734543
89020905812,224393181
89572926357,519518121
89328268630,729238664
89124284204,385059701
89262364309,692963679
89777590017,275035126
89370396075,540148171
89724349210,467744176
89676979799,689337003
89800803135,405655644
89831707201,160988131
89604533251,979055812
89986169047,962156642
89263621548,595366309
89919226224,505197081
89424956804,217021687
89921125016,179312352
89624200653,554717614
89687069009,951129748
89918702546,323584972
89381428131,276058788
89501234697,431785813
89521427260,290072007
89782673080,561341801
89982858308,359391094
89634431645,132596414
89451781615,239010983
89052397688,595974701
89867461292,553339163
